Grade;first_exam;second_exam;total;exam_year;exam_semester;exam_number;course;degree
5,0;53;43;96;2017;Wintersemester;333210007;Mathematische Methoden für Wirtschaftswissenschaftler A;Bachelor
1,0;2;4;6;2017;Wintersemester;333210010;Mikroökonomik B;Bachelor
1,3;15;1;16;2017;Wintersemester;333210010;Mikroökonomik B;Bachelor
1,7;16;3;19;2017;Wintersemester;333210010;Mikroökonomik B;Bachelor
2,0;10;4;14;2017;Wintersemester;333210010;Mikroökonomik B;Bachelor
2,3;11;2;13;2017;Wintersemester;333210010;Mikroökonomik B;Bachelor
2,7;14;5;19;2017;Wintersemester;333210010;Mikroökonomik B;Bachelor
3,0;11;8;19;2017;Wintersemester;333210010;Mikroökonomik B;Bachelor
3,3;4;11;15;2017;Wintersemester;333210010;Mikroökonomik B;Bachelor
3,7;10;12;22;2017;Wintersemester;333210010;Mikroökonomik B;Bachelor
4,0;13;13;26;2017;Wintersemester;333210010;Mikroökonomik B;Bachelor
5,0;36;20;56;2017;Wintersemester;333210010;Mikroökonomik B;Bachelor
1,0;7;5;12;2017;Wintersemester;333223001;Ökonometrie;Bachelor
1,3;28;5;33;2017;Wintersemester;333223001;Ökonometrie;Bachelor
1,7;19;9;28;2017;Wintersemester;333223001;Ökonometrie;Bachelor
2,0;8;9;17;2017;Wintersemester;333223001;Ökonometrie;Bachelor
2,3;7;5;12;2017;Wintersemester;333223001;Ökonometrie;Bachelor
2,7;3;8;11;2017;Wintersemester;333223001;Ökonometrie;Bachelor
3,0;4;4;8;2017;Wintersemester;333223001;Ökonometrie;Bachelor
3,3;3;3;6;2017;Wintersemester;333223001;Ökonometrie;Bachelor
3,7;1;2;3;2017;Wintersemester;333223001;Ökonometrie;Bachelor
4,0;1;1;2;2017;Wintersemester;333223001;Ökonometrie;Bachelor
5,0;15;19;34;2017;Wintersemester;333223001;Ökonometrie;Bachelor
1,0;18;;18;2017;Wintersemester;333210050;Wissenschaftliches Arbeiten;Bachelor
1,3;15;;15;2017;Wintersemester;333210050;Wissenschaftliches Arbeiten;Bachelor
1,7;21;;21;2017;Wintersemester;333210050;Wissenschaftliches Arbeiten;Bachelor
2,0;9;;9;2017;Wintersemester;333210050;Wissenschaftliches Arbeiten;Bachelor
2,3;4;;4;2017;Wintersemester;333210050;Wissenschaftliches Arbeiten;Bachelor
2,7;3;;3;2017;Wintersemester;333210050;Wissenschaftliches Arbeiten;Bachelor
3,0;0;;0;2017;Wintersemester;333210050;Wissenschaftliches Arbeiten;Bachelor
3,3;0;;0;2017;Wintersemester;333210050;Wissenschaftliches Arbeiten;Bachelor
3,7;0;;0;2017;Wintersemester;333210050;Wissenschaftliches Arbeiten;Bachelor
4,0;0;;0;2017;Wintersemester;333210050;Wissenschaftliches Arbeiten;Bachelor
5,0;3;;3;2017;Wintersemester;333210050;Wissenschaftliches Arbeiten;Bachelor
1,0;2;2;4;2017;Wintersemester;333221002;Auktionen und Märkte;Bachelor
1,3;0;2;2;2017;Wintersemester;333221002;Auktionen und Märkte;Bachelor
1,7;2;1;3;2017;Wintersemester;333221002;Auktionen und Märkte;Bachelor
2,0;3;1;4;2017;Wintersemester;333221002;Auktionen und Märkte;Bachelor
2,3;1;0;1;2017;Wintersemester;333221002;Auktionen und Märkte;Bachelor
2,7;2;1;3;2017;Wintersemester;333221002;Auktionen und Märkte;Bachelor
3,0;4;0;4;2017;Wintersemester;333221002;Auktionen und Märkte;Bachelor
3,3;2;0;2;2017;Wintersemester;333221002;Auktionen und Märkte;Bachelor
3,7;0;2;2;2017;Wintersemester;333221002;Auktionen und Märkte;Bachelor
4,0;2;0;2;2017;Wintersemester;333221002;Auktionen und Märkte;Bachelor
5,0;8;7;15;2017;Wintersemester;333221002;Auktionen und Märkte;Bachelor
1,0;1;3;4;2017;Wintersemester;333221004;Außenwirtschaft;Bachelor
1,3;2;0;2;2017;Wintersemester;333221004;Außenwirtschaft;Bachelor
1,7;2;1;3;2017;Wintersemester;333221004;Außenwirtschaft;Bachelor
2,0;1;2;3;2017;Wintersemester;333221004;Außenwirtschaft;Bachelor
2,3;2;2;4;2017;Wintersemester;333221004;Außenwirtschaft;Bachelor
2,7;5;4;9;2017;Wintersemester;333221004;Außenwirtschaft;Bachelor
3,0;2;6;8;2017;Wintersemester;333221004;Außenwirtschaft;Bachelor
3,3;10;4;14;2017;Wintersemester;333221004;Außenwirtschaft;Bachelor
3,7;2;2;4;2017;Wintersemester;333221004;Außenwirtschaft;Bachelor
4,0;2;3;5;2017;Wintersemester;333221004;Außenwirtschaft;Bachelor
5,0;15;14;29;2017;Wintersemester;333221004;Außenwirtschaft;Bachelor
1,0;7;1;8;2017;Wintersemester;333223003;Computergestützte statistische Analyse;Bachelor
1,3;2;0;2;2017;Wintersemester;333223003;Computergestützte statistische Analyse;Bachelor
1,7;0;0;0;2017;Wintersemester;333223003;Computergestützte statistische Analyse;Bachelor
2,0;1;1;2;2017;Wintersemester;333223003;Computergestützte statistische Analyse;Bachelor
2,3;0;2;2;2017;Wintersemester;333223003;Computergestützte statistische Analyse;Bachelor
2,7;0;0;0;2017;Wintersemester;333223003;Computergestützte statistische Analyse;Bachelor
3,0;0;1;1;2017;Wintersemester;333223003;Computergestützte statistische Analyse;Bachelor
3,3;0;1;1;2017;Wintersemester;333223003;Computergestützte statistische Analyse;Bachelor
3,7;0;1;1;2017;Wintersemester;333223003;Computergestützte statistische Analyse;Bachelor
4,0;0;3;3;2017;Wintersemester;333223003;Computergestützte statistische Analyse;Bachelor
5,0;3;1;4;2017;Wintersemester;333223003;Computergestützte statistische Analyse;Bachelor
1,0;0;2;2;2017;Wintersemester;333222011;Empirical Corporate Finance;Bachelor
1,3;3;2;5;2017;Wintersemester;333222011;Empirical Corporate Finance;Bachelor
1,7;3;0;3;2017;Wintersemester;333222011;Empirical Corporate Finance;Bachelor
2,0;4;5;9;2017;Wintersemester;333222011;Empirical Corporate Finance;Bachelor
2,3;1;2;3;2017;Wintersemester;333222011;Empirical Corporate Finance;Bachelor
2,7;0;3;3;2017;Wintersemester;333222011;Empirical Corporate Finance;Bachelor
3,0;4;6;10;2017;Wintersemester;333222011;Empirical Corporate Finance;Bachelor
3,3;0;0;0;2017;Wintersemester;333222011;Empirical Corporate Finance;Bachelor
3,7;0;1;1;2017;Wintersemester;333222011;Empirical Corporate Finance;Bachelor
4,0;0;0;0;2017;Wintersemester;333222011;Empirical Corporate Finance;Bachelor
5,0;9;10;19;2017;Wintersemester;333222011;Empirical Corporate Finance;Bachelor
1,0;1;2;3;2017;Wintersemester;333221005;Geldtheorie und Geldpolitik;Bachelor
1,3;1;1;2;2017;Wintersemester;333221005;Geldtheorie und Geldpolitik;Bachelor
1,7;3;0;3;2017;Wintersemester;333221005;Geldtheorie und Geldpolitik;Bachelor
2,0;4;1;5;2017;Wintersemester;333221005;Geldtheorie und Geldpolitik;Bachelor
2,3;5;2;7;2017;Wintersemester;333221005;Geldtheorie und Geldpolitik;Bachelor
2,7;5;2;7;2017;Wintersemester;333221005;Geldtheorie und Geldpolitik;Bachelor
3,0;0;2;2;2017;Wintersemester;333221005;Geldtheorie und Geldpolitik;Bachelor
3,3;2;4;6;2017;Wintersemester;333221005;Geldtheorie und Geldpolitik;Bachelor
3,7;1;0;1;2017;Wintersemester;333221005;Geldtheorie und Geldpolitik;Bachelor
4,0;3;3;6;2017;Wintersemester;333221005;Geldtheorie und Geldpolitik;Bachelor
5,0;13;8;21;2017;Wintersemester;333221005;Geldtheorie und Geldpolitik;Bachelor
1,0;1;1;2;2017;Wintersemester;333222001;Internationale Bankleistungen;Bachelor
1,3;5;0;5;2017;Wintersemester;333222001;Internationale Bankleistungen;Bachelor
1,7;0;1;1;2017;Wintersemester;333222001;Internationale Bankleistungen;Bachelor
2,0;3;1;4;2017;Wintersemester;333222001;Internationale Bankleistungen;Bachelor
2,3;1;4;5;2017;Wintersemester;333222001;Internationale Bankleistungen;Bachelor
2,7;0;0;0;2017;Wintersemester;333222001;Internationale Bankleistungen;Bachelor
3,0;5;1;6;2017;Wintersemester;333222001;Internationale Bankleistungen;Bachelor
3,3;0;4;4;2017;Wintersemester;333222001;Internationale Bankleistungen;Bachelor
3,7;1;0;1;2017;Wintersemester;333222001;Internationale Bankleistungen;Bachelor
4,0;0;0;0;2017;Wintersemester;333222001;Internationale Bankleistungen;Bachelor
5,0;4;5;9;2017;Wintersemester;333222001;Internationale Bankleistungen;Bachelor
1,0;12;4;16;2017;Wintersemester;333222005;Kostenmanagement und Kostenrechnung;Bachelor
1,3;6;1;7;2017;Wintersemester;333222005;Kostenmanagement und Kostenrechnung;Bachelor
1,7;4;0;4;2017;Wintersemester;333222005;Kostenmanagement und Kostenrechnung;Bachelor
2,0;1;7;8;2017;Wintersemester;333222005;Kostenmanagement und Kostenrechnung;Bachelor
2,3;4;4;8;2017;Wintersemester;333222005;Kostenmanagement und Kostenrechnung;Bachelor
2,7;4;1;5;2017;Wintersemester;333222005;Kostenmanagement und Kostenrechnung;Bachelor
3,0;6;7;13;2017;Wintersemester;333222005;Kostenmanagement und Kostenrechnung;Bachelor
3,3;5;2;7;2017;Wintersemester;333222005;Kostenmanagement und Kostenrechnung;Bachelor
3,7;1;4;5;2017;Wintersemester;333222005;Kostenmanagement und Kostenrechnung;Bachelor
4,0;1;9;10;2017;Wintersemester;333222005;Kostenmanagement und Kostenrechnung;Bachelor
5,0;25;33;58;2017;Wintersemester;333222005;Kostenmanagement und Kostenrechnung;Bachelor
1,0;1;0;1;2017;Wintersemester;333223002;Multivariate Statistik;Bachelor
1,3;2;2;4;2017;Wintersemester;333223002;Multivariate Statistik;Bachelor
1,7;1;0;1;2017;Wintersemester;333223002;Multivariate Statistik;Bachelor
2,0;0;0;0;2017;Wintersemester;333223002;Multivariate Statistik;Bachelor
2,3;0;1;1;2017;Wintersemester;333223002;Multivariate Statistik;Bachelor
2,7;0;0;0;2017;Wintersemester;333223002;Multivariate Statistik;Bachelor
3,0;0;0;0;2017;Wintersemester;333223002;Multivariate Statistik;Bachelor
3,3;0;0;0;2017;Wintersemester;333223002;Multivariate Statistik;Bachelor
3,7;0;0;0;2017;Wintersemester;333223002;Multivariate Statistik;Bachelor
4,0;1;1;2;2017;Wintersemester;333223002;Multivariate Statistik;Bachelor
5,0;0;5;5;2017;Wintersemester;333223002;Multivariate Statistik;Bachelor
1,0;0;0;0;2017;Wintersemester;333221006;Ökonomik des Wohlfahrtsstaates;Bachelor
1,3;0;1;1;2017;Wintersemester;333221006;Ökonomik des Wohlfahrtsstaates;Bachelor
1,7;0;0;0;2017;Wintersemester;333221006;Ökonomik des Wohlfahrtsstaates;Bachelor
2,0;0;1;1;2017;Wintersemester;333221006;Ökonomik des Wohlfahrtsstaates;Bachelor
2,3;2;1;3;2017;Wintersemester;333221006;Ökonomik des Wohlfahrtsstaates;Bachelor
2,7;0;4;4;2017;Wintersemester;333221006;Ökonomik des Wohlfahrtsstaates;Bachelor
3,0;2;1;3;2017;Wintersemester;333221006;Ökonomik des Wohlfahrtsstaates;Bachelor
3,3;1;0;1;2017;Wintersemester;333221006;Ökonomik des Wohlfahrtsstaates;Bachelor
3,7;3;1;4;2017;Wintersemester;333221006;Ökonomik des Wohlfahrtsstaates;Bachelor
4,0;2;2;4;2017;Wintersemester;333221006;Ökonomik des Wohlfahrtsstaates;Bachelor
5,0;14;9;23;2017;Wintersemester;333221006;Ökonomik des Wohlfahrtsstaates;Bachelor
1,0;7;0;7;2017;Wintersemester;333221001;Spieltheorie / Introduction to Game Theory;Bachelor
1,3;3;2;5;2017;Wintersemester;333221001;Spieltheorie / Introduction to Game Theory;Bachelor
1,7;3;2;5;2017;Wintersemester;333221001;Spieltheorie / Introduction to Game Theory;Bachelor
2,0;5;1;6;2017;Wintersemester;333221001;Spieltheorie / Introduction to Game Theory;Bachelor
2,3;5;1;6;2017;Wintersemester;333221001;Spieltheorie / Introduction to Game Theory;Bachelor
2,7;3;0;3;2017;Wintersemester;333221001;Spieltheorie / Introduction to Game Theory;Bachelor
3,0;2;6;8;2017;Wintersemester;333221001;Spieltheorie / Introduction to Game Theory;Bachelor
3,3;6;1;7;2017;Wintersemester;333221001;Spieltheorie / Introduction to Game Theory;Bachelor
3,7;2;4;6;2017;Wintersemester;333221001;Spieltheorie / Introduction to Game Theory;Bachelor
4,0;0;0;0;2017;Wintersemester;333221001;Spieltheorie / Introduction to Game Theory;Bachelor
5,0;13;31;44;2017;Wintersemester;333221001;Spieltheorie / Introduction to Game Theory;Bachelor
1,0;2;1;3;2017;Wintersemester;333221012;Umweltökonomik;Bachelor
1,3;0;0;0;2017;Wintersemester;333221012;Umweltökonomik;Bachelor
1,7;1;1;2;2017;Wintersemester;333221012;Umweltökonomik;Bachelor
2,0;2;0;2;2017;Wintersemester;333221012;Umweltökonomik;Bachelor
2,3;6;1;7;2017;Wintersemester;333221012;Umweltökonomik;Bachelor
2,7;1;1;2;2017;Wintersemester;333221012;Umweltökonomik;Bachelor
3,0;4;2;6;2017;Wintersemester;333221012;Umweltökonomik;Bachelor
3,3;3;1;4;2017;Wintersemester;333221012;Umweltökonomik;Bachelor
3,7;6;3;9;2017;Wintersemester;333221012;Umweltökonomik;Bachelor
4,0;6;4;10;2017;Wintersemester;333221012;Umweltökonomik;Bachelor
5,0;17;12;29;2017;Wintersemester;333221012;Umweltökonomik;Bachelor
1,0;1;0;1;2017;Wintersemester;333222009;Unternehmensbilanzen und Unternehmensbewertung;Bachelor
1,3;1;1;2;2017;Wintersemester;333222009;Unternehmensbilanzen und Unternehmensbewertung;Bachelor
1,7;1;1;2;2017;Wintersemester;333222009;Unternehmensbilanzen und Unternehmensbewertung;Bachelor
2,0;2;0;2;2017;Wintersemester;333222009;Unternehmensbilanzen und Unternehmensbewertung;Bachelor
2,3;4;2;6;2017;Wintersemester;333222009;Unternehmensbilanzen und Unternehmensbewertung;Bachelor
2,7;3;1;4;2017;Wintersemester;333222009;Unternehmensbilanzen und Unternehmensbewertung;Bachelor
3,0;1;2;3;2017;Wintersemester;333222009;Unternehmensbilanzen und Unternehmensbewertung;Bachelor
3,3;0;1;1;2017;Wintersemester;333222009;Unternehmensbilanzen und Unternehmensbewertung;Bachelor
3,7;2;0;2;2017;Wintersemester;333222009;Unternehmensbilanzen und Unternehmensbewertung;Bachelor
4,0;0;1;1;2017;Wintersemester;333222009;Unternehmensbilanzen und Unternehmensbewertung;Bachelor
5,0;9;8;17;2017;Wintersemester;333222009;Unternehmensbilanzen und Unternehmensbewertung;Bachelor
1,0;5;3;8;2017;Wintersemester;333221019;Wirtschaftsgeschichte;Bachelor
1,3;5;5;10;2017;Wintersemester;333221019;Wirtschaftsgeschichte;Bachelor
1,7;4;0;4;2017;Wintersemester;333221019;Wirtschaftsgeschichte;Bachelor
2,0;8;3;11;2017;Wintersemester;333221019;Wirtschaftsgeschichte;Bachelor
2,3;5;3;8;2017;Wintersemester;333221019;Wirtschaftsgeschichte;Bachelor
2,7;7;1;8;2017;Wintersemester;333221019;Wirtschaftsgeschichte;Bachelor
3,0;2;5;7;2017;Wintersemester;333221019;Wirtschaftsgeschichte;Bachelor
3,3;5;7;12;2017;Wintersemester;333221019;Wirtschaftsgeschichte;Bachelor
3,7;3;1;4;2017;Wintersemester;333221019;Wirtschaftsgeschichte;Bachelor
4,0;3;9;12;2017;Wintersemester;333221019;Wirtschaftsgeschichte;Bachelor
5,0;22;16;38;2017;Wintersemester;333221019;Wirtschaftsgeschichte;Bachelor
1,0;5;6;11;2017;Wintersemester;332210005;Econometrics;Master
1,3;3;8;11;2017;Wintersemester;332210005;Econometrics;Master
1,7;2;5;7;2017;Wintersemester;332210005;Econometrics;Master
2,0;1;13;14;2017;Wintersemester;332210005;Econometrics;Master
2,3;2;13;15;2017;Wintersemester;332210005;Econometrics;Master
2,7;8;7;15;2017;Wintersemester;332210005;Econometrics;Master
3,0;5;6;11;2017;Wintersemester;332210005;Econometrics;Master
3,3;4;2;6;2017;Wintersemester;332210005;Econometrics;Master
3,7;5;6;11;2017;Wintersemester;332210005;Econometrics;Master
4,0;7;3;10;2017;Wintersemester;332210005;Econometrics;Master
5,0;18;9;27;2017;Wintersemester;332210005;Econometrics;Master
1,0;5;5;10;2017;Wintersemester;332210004;Finance;Master
1,3;9;7;16;2017;Wintersemester;332210004;Finance;Master
1,7;1;8;9;2017;Wintersemester;332210004;Finance;Master
2,0;8;4;12;2017;Wintersemester;332210004;Finance;Master
2,3;3;8;11;2017;Wintersemester;332210004;Finance;Master
2,7;0;7;7;2017;Wintersemester;332210004;Finance;Master
3,0;4;3;7;2017;Wintersemester;332210004;Finance;Master
3,3;0;0;0;2017;Wintersemester;332210004;Finance;Master
3,7;0;2;2;2017;Wintersemester;332210004;Finance;Master
4,0;7;1;8;2017;Wintersemester;332210004;Finance;Master
5,0;14;6;20;2017;Wintersemester;332210004;Finance;Master
1,0;2;2;4;2017;Wintersemester;332210003;Macroeconomics;Master
1,3;2;2;4;2017;Wintersemester;332210003;Macroeconomics;Master
1,7;3;3;6;2017;Wintersemester;332210003;Macroeconomics;Master
2,0;7;7;14;2017;Wintersemester;332210003;Macroeconomics;Master
2,3;7;7;14;2017;Wintersemester;332210003;Macroeconomics;Master
2,7;9;7;16;2017;Wintersemester;332210003;Macroeconomics;Master
3,0;5;5;10;2017;Wintersemester;332210003;Macroeconomics;Master
3,3;4;1;5;2017;Wintersemester;332210003;Macroeconomics;Master
3,7;9;1;10;2017;Wintersemester;332210003;Macroeconomics;Master
4,0;9;14;23;2017;Wintersemester;332210003;Macroeconomics;Master
5,0;13;13;26;2017;Wintersemester;332210003;Macroeconomics;Master
1,0;6;11;17;2017;Wintersemester;332210001;Mathematics for Economists;Master
1,3;7;5;12;2017;Wintersemester;332210001;Mathematics for Economists;Master
1,7;9;12;21;2017;Wintersemester;332210001;Mathematics for Economists;Master
2,0;6;4;10;2017;Wintersemester;332210001;Mathematics for Economists;Master
2,3;8;4;12;2017;Wintersemester;332210001;Mathematics for Economists;Master
2,7;14;12;26;2017;Wintersemester;332210001;Mathematics for Economists;Master
3,0;11;2;13;2017;Wintersemester;332210001;Mathematics for Economists;Master
3,3;15;7;22;2017;Wintersemester;332210001;Mathematics for Economists;Master
3,7;8;4;12;2017;Wintersemester;332210001;Mathematics for Economists;Master
4,0;6;2;8;2017;Wintersemester;332210001;Mathematics for Economists;Master
5,0;14;6;20;2017;Wintersemester;332210001;Mathematics for Economists;Master
1,0;1;8;9;2017;Wintersemester;332210002;Microeconomics;Master
1,3;7;5;12;2017;Wintersemester;332210002;Microeconomics;Master
1,7;4;6;10;2017;Wintersemester;332210002;Microeconomics;Master
2,0;1;11;12;2017;Wintersemester;332210002;Microeconomics;Master
2,3;6;4;10;2017;Wintersemester;332210002;Microeconomics;Master
2,7;11;7;18;2017;Wintersemester;332210002;Microeconomics;Master
3,0;13;6;19;2017;Wintersemester;332210002;Microeconomics;Master
3,3;6;6;12;2017;Wintersemester;332210002;Microeconomics;Master
3,7;9;3;12;2017;Wintersemester;332210002;Microeconomics;Master
4,0;14;3;17;2017;Wintersemester;332210002;Microeconomics;Master
5,0;22;13;35;2017;Wintersemester;332210002;Microeconomics;Master
1,0;5;0;5;2017;Wintersemester;332211005;Econometrics (Ph.D.);Master
1,3;1;0;1;2017;Wintersemester;332211005;Econometrics (Ph.D.);Master
1,7;4;0;4;2017;Wintersemester;332211005;Econometrics (Ph.D.);Master
2,0;1;3;4;2017;Wintersemester;332211005;Econometrics (Ph.D.);Master
2,3;0;2;2;2017;Wintersemester;332211005;Econometrics (Ph.D.);Master
2,7;0;0;0;2017;Wintersemester;332211005;Econometrics (Ph.D.);Master
3,0;1;1;2;2017;Wintersemester;332211005;Econometrics (Ph.D.);Master
3,3;2;2;4;2017;Wintersemester;332211005;Econometrics (Ph.D.);Master
3,7;1;0;1;2017;Wintersemester;332211005;Econometrics (Ph.D.);Master
4,0;2;2;4;2017;Wintersemester;332211005;Econometrics (Ph.D.);Master
5,0;1;1;2;2017;Wintersemester;332211005;Econometrics (Ph.D.);Master
1,0;4;2;6;2017;Wintersemester;332211003;Macroeconomics (Ph.D.);Master
1,3;1;0;1;2017;Wintersemester;332211003;Macroeconomics (Ph.D.);Master
1,7;6;2;8;2017;Wintersemester;332211003;Macroeconomics (Ph.D.);Master
2,0;0;0;0;2017;Wintersemester;332211003;Macroeconomics (Ph.D.);Master
2,3;1;1;2;2017;Wintersemester;332211003;Macroeconomics (Ph.D.);Master
2,7;6;2;8;2017;Wintersemester;332211003;Macroeconomics (Ph.D.);Master
3,0;1;0;1;2017;Wintersemester;332211003;Macroeconomics (Ph.D.);Master
3,3;0;0;0;2017;Wintersemester;332211003;Macroeconomics (Ph.D.);Master
3,7;0;0;0;2017;Wintersemester;332211003;Macroeconomics (Ph.D.);Master
4,0;0;0;0;2017;Wintersemester;332211003;Macroeconomics (Ph.D.);Master
5,0;0;3;3;2017;Wintersemester;332211003;Macroeconomics (Ph.D.);Master
1,0;4;1;5;2017;Wintersemester;332211001;Mathematics for Economists (Ph.D.);Master
1,3;4;1;5;2017;Wintersemester;332211001;Mathematics for Economists (Ph.D.);Master
1,7;1;2;3;2017;Wintersemester;332211001;Mathematics for Economists (Ph.D.);Master
2,0;0;1;1;2017;Wintersemester;332211001;Mathematics for Economists (Ph.D.);Master
2,3;0;0;0;2017;Wintersemester;332211001;Mathematics for Economists (Ph.D.);Master
2,7;3;1;4;2017;Wintersemester;332211001;Mathematics for Economists (Ph.D.);Master
3,0;1;1;2;2017;Wintersemester;332211001;Mathematics for Economists (Ph.D.);Master
3,3;2;0;2;2017;Wintersemester;332211001;Mathematics for Economists (Ph.D.);Master
3,7;0;0;0;2017;Wintersemester;332211001;Mathematics for Economists (Ph.D.);Master
4,0;0;0;0;2017;Wintersemester;332211001;Mathematics for Economists (Ph.D.);Master
5,0;6;4;10;2017;Wintersemester;332211001;Mathematics for Economists (Ph.D.);Master
1,0;1;2;3;2017;Wintersemester;332211002;Microeconomics (Ph.D.);Master
1,3;0;1;1;2017;Wintersemester;332211002;Microeconomics (Ph.D.);Master
1,7;1;1;2;2017;Wintersemester;332211002;Microeconomics (Ph.D.);Master
2,0;0;0;0;2017;Wintersemester;332211002;Microeconomics (Ph.D.);Master
